requete,ordre,rappel,precision
1,0,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,3,0.0,0.0
1,4,0.0,0.0
1,5,0.0,0.0
1,6,0.0,0.0
1,7,0.0,0.0
1,8,0.0,0.0
1,9,0.0,0.0
1,10,0.0,0.0
1,11,0.0,0.0
1,12,0.2,0.08333333333333333
1,13,0.2,0.07692307692307693
1,14,0.2,0.07142857142857142
1,15,0.2,0.06666666666666667
1,16,0.2,0.0625
1,17,0.2,0.058823529411764705
1,18,0.2,0.05555555555555555
1,19,0.2,0.05263157894736842
1,20,0.2,0.05
1,21,0.2,0.047619047619047616
1,22,0.2,0.045454545454545456
1,23,0.2,0.043478260869565216
1,24,0.2,0.041666666666666664
1,25,0.2,0.04
1,26,0.2,0.038461538461538464
1,27,0.2,0.037037037037037035
1,28,0.2,0.03571428571428571
1,29,0.4,0.06896551724137931
1,30,0.4,0.06666666666666667
1,31,0.4,0.06451612903225806
1,32,0.4,0.0625
1,33,0.4,0.06060606060606061
1,34,0.4,0.058823529411764705
1,35,0.4,0.05714285714285714
1,36,0.4,0.05555555555555555
1,37,0.4,0.05405405405405406
1,38,0.4,0.05263157894736842
1,39,0.4,0.05128205128205128
1,40,0.6000000000000001,0.07500000000000001
1,41,0.6000000000000001,0.07317073170731708
1,42,0.6000000000000001,0.07142857142857142
1,43,0.6000000000000001,0.06976744186046512
1,44,0.6000000000000001,0.06818181818181818
1,45,0.6000000000000001,0.06666666666666667
1,46,0.6000000000000001,0.06521739130434782
1,47,0.6000000000000001,0.06382978723404255
1,48,0.6000000000000001,0.0625
1,49,0.6000000000000001,0.061224489795918366
1,50,0.6000000000000001,0.06
1,51,0.6000000000000001,0.058823529411764705
1,52,0.6000000000000001,0.057692307692307696
1,53,0.6000000000000001,0.05660377358490566
1,54,0.6000000000000001,0.05555555555555555
1,55,0.6000000000000001,0.05454545454545454
1,56,0.6000000000000001,0.05357142857142857
1,57,0.6000000000000001,0.05263157894736842
1,58,0.6000000000000001,0.05172413793103448
1,59,0.6000000000000001,0.05084745762711865
1,60,0.6000000000000001,0.05
1,61,0.6000000000000001,0.04918032786885246
1,62,0.6000000000000001,0.04838709677419355
1,63,0.6000000000000001,0.047619047619047616
1,64,0.6000000000000001,0.046875
1,65,0.6000000000000001,0.046153846153846156
1,66,0.6000000000000001,0.045454545454545456
1,67,0.6000000000000001,0.04477611940298507
1,68,0.6000000000000001,0.044117647058823525
1,69,0.6000000000000001,0.043478260869565216
1,70,0.6000000000000001,0.04285714285714286
1,71,0.6000000000000001,0.04225352112676056
1,72,0.6000000000000001,0.041666666666666664
1,73,0.6000000000000001,0.0410958904109589
1,74,0.6000000000000001,0.04054054054054054
1,75,0.6000000000000001,0.04
1,76,0.6000000000000001,0.039473684210526314
1,77,0.6000000000000001,0.03896103896103896
1,78,0.6000000000000001,0.038461538461538464
1,79,0.6000000000000001,0.0379746835443038
1,80,0.6000000000000001,0.037500000000000006
1,81,0.6000000000000001,0.037037037037037035
1,82,0.6000000000000001,0.03658536585365854
1,83,0.6000000000000001,0.03614457831325302
1,84,0.6000000000000001,0.03571428571428571
1,85,0.6000000000000001,0.03529411764705882
1,86,0.6000000000000001,0.03488372093023256
1,87,0.6000000000000001,0.034482758620689655
1,88,0.6000000000000001,0.03409090909090909
1,89,0.6000000000000001,0.033707865168539325
1,90,0.6000000000000001,0.03333333333333333
1,91,0.6000000000000001,0.03296703296703297
1,92,0.6000000000000001,0.03260869565217391
1,93,0.6000000000000001,0.03225806451612903
1,94,0.6000000000000001,0.031914893617021274
1,95,0.6000000000000001,0.031578947368421054
1,96,0.6000000000000001,0.03125
1,97,0.8,0.041237113402061855
1,98,0.8,0.04081632653061224
1,99,0.8,0.04040404040404041
2,0,0.0,0.0
2,1,0.0,0.0
2,2,0.0,0.0
2,3,0.0,0.0
2,4,0.0,0.0
2,5,0.0,0.0
2,6,0.0,0.0
2,7,0.0,0.0
2,8,0.0,0.0
2,9,0.0,0.0
2,10,0.0,0.0
2,11,0.0,0.0
2,12,0.0,0.0
2,13,0.0,0.0
2,14,0.0,0.0
2,15,0.0,0.0
2,16,0.0,0.0
2,17,0.0,0.0
2,18,0.0,0.0
2,19,0.0,0.0
2,20,0.0,0.0
2,21,0.0,0.0
2,22,0.0,0.0
2,23,0.0,0.0
2,24,0.0,0.0
2,25,0.0,0.0
2,26,0.0,0.0
2,27,0.0,0.0
2,28,0.0,0.0
2,29,0.0,0.0
2,30,0.0,0.0
2,31,0.0,0.0
2,32,0.0,0.0
2,33,0.0,0.0
2,34,0.0,0.0
2,35,0.0,0.0
2,36,0.0,0.0
2,37,0.0,0.0
